Year,Day,Hour,Minute,points_in_IMF_avgs,Percent_interp.,CP/MV_Flag,Timeshift_sec,Phase_frnt_nrml_X,Phase_frnt_nrml_Y,Phase_frnt_nrml_Z,ScalarB_nT,Bx_nT_GSE_GSM,By_nT_GSE,Bz_nT_GSE,By_nT_GSM,Bz_nT_GSM,RMS_timeshift_sec,RMS_phase_front_normal,RMS_ScalarB_nT,RMS_Field vector_nT,points_in_plasma_avgs,Flow_speed_kms,Vx_Velocity_kms_GSE,Vy_Velocity_kms_GSE,Vz_Velocity_kms_GSE,Proton_Density_ncc,Temperature_K,X_sc_GSE_Re,Y_sc_GSE_Re,Z_sc_GSE_Re,X_target_GSE_Re,Y_target_GSE_Re,Z_target_GSE_Re,RMS_target_Re,DBOT1_sec,DBOT2_sec,Bz_Present,Datetime,Vx_Present,Proton_Density_Present,Abs_Vx_Velocity_kms_GSE,Month
1998,69,15,40,5,0,0.7,3425,0.86,0.45,0.26,18.8,5.97,-5.35,-7.82,-2.39,-9.15,61,0.03,1.3,13.1,5,511.7,-501.7,83.2,20.0,10.98,295042.0,243.09,-7.05,21.3,10.49,-2.28,-0.43,0.56,78,78,1,1998-03-10 15:40:00,1,1,501.7,3
1998,69,15,45,5,0,0.8,3321,0.86,0.44,0.25,17.58,4.05,-0.86,-15.47,4.48,-14.84,38,0.03,0.64,5.86,5,546.3,-533.7,113.3,5.5,10.86,322904.0,243.09,-7.06,21.3,9.13,-2.31,-0.13,0.26,66,64,1,1998-03-10 15:45:00,1,1,533.7,3
1998,69,15,50,5,32,0.9,3069,0.87,0.16,0.27,18.17,6.6,-5.2,-14.08,-0.02,-15.01,252,0.3,0.99,7.06,5,530.4,-521.4,93.5,13.1,11.41,324507.0,243.09,-7.07,21.29,9.38,-2.15,-0.28,0.18,145,141,1,1998-03-10 15:50:00,1,1,521.4,3
1998,69,15,55,5,44,0.4,2817,0.86,-0.23,0.25,17.79,4.03,-5.44,-15.75,0.4,-16.66,218,0.27,0.59,2.55,5,528.1,-519.8,88.5,3.6,11.64,353111.0,243.09,-7.07,21.29,9.16,-1.96,0.03,0.28,142,-18,1,1998-03-10 15:55:00,1,1,519.8,3
1998,69,16,0,5,7,0.7,2630,0.84,-0.44,0.23,17.66,1.16,-6.67,-15.95,-0.62,-17.28,80,0.1,0.26,1.9,5,534.9,-530.7,65.5,-2.5,10.99,344412.0,243.09,-7.09,21.29,9.2,-1.68,0.04,0.18,40,17,1,1998-03-10 16:00:00,1,1,530.7,3
1998,69,16,5,5,15,0.8,2467,0.69,-0.63,0.26,16.83,3.52,-1.94,-15.81,3.82,-15.46,109,0.14,0.48,2.2,4,527.4,-520.2,85.4,-10.1,12.1,334964.0,243.09,-7.1,21.29,9.1,-2.06,0.27,0.09,107,95,1,1998-03-10 16:05:00,1,1,520.2,3
1998,69,16,10,5,93,0.0,2427,0.69,-0.66,0.28,16.69,6.24,-0.47,-15.24,5.04,-14.39,22,0.04,0.12,1.9,5,523.1,-512.6,101.6,-21.9,11.47,341468.0,243.09,-7.1,21.29,9.12,-2.37,0.38,0.04,43,43,1,1998-03-10 16:10:00,1,1,512.6,3
1998,69,16,15,5,100,9.9,2563,0.73,-0.42,0.23,16.72,7.41,-1.62,-13.36,3.34,-13.04,49,0.11,0.09,5.69,2,532.2,-521.8,101.5,-20.4,11.24,351900.0,243.09,-7.11,21.28,9.34,-2.34,0.37,0.15,25,25,1,1998-03-10 16:15:00,1,1,521.8,3
1998,69,16,20,5,100,9.9,2751,0.74,-0.07,0.13,16.77,1.07,-4.3,-16.07,1.9,-16.52,61,0.1,0.08,1.34,3,544.8,-535.7,93.8,-31.4,11.94,375397.0,243.09,-7.11,21.28,8.91,-2.03,0.49,0.01,19,19,1,1998-03-10 16:20:00,1,1,535.7,3
1998,69,16,30,5,100,9.9,3191,0.75,0.42,-0.01,16.54,2.08,-8.01,-14.16,-2.12,-16.12,71,0.05,0.18,1.91,2,529.3,-524.2,73.2,-3.2,11.04,349070.0,243.08,-7.11,21.28,9.47,-1.92,-0.04,0.0,10,7,1,1998-03-10 16:30:00,1,1,524.2,3
1998,69,17,55,5,100,9.9,3227,0.94,0.15,0.29,17.19,4.72,-1.92,-16.3,5.39,-15.51,41,0.03,0.2,1.13,2,506.6,-496.0,102.3,-8.3,10.84,340025.0,243.08,-7.2,21.26,9.22,-2.48,0.11,0.04,32,32,1,1998-03-10 17:55:00,1,1,496.0,3
1998,69,18,0,5,25,0.7,3330,0.91,0.3,0.28,16.59,5.31,-6.15,-14.31,0.77,-15.55,44,0.03,0.1,1.42,5,501.2,-493.1,89.3,-6.4,10.78,325057.0,243.08,-7.2,21.26,9.57,-2.29,0.13,0.04,35,35,1,1998-03-10 18:00:00,1,1,493.1,3
1998,69,18,10,5,63,0.9,3157,0.8,0.05,0.44,15.91,7.1,-6.29,-12.02,-0.26,-13.57,166,0.18,0.59,3.07,5,504.0,-492.9,105.1,0.4,10.89,315960.0,243.08,-7.21,21.26,9.71,-2.66,-0.06,0.18,147,147,1,1998-03-10 18:10:00,1,1,492.9,3
1998,69,19,10,5,71,0.5,3642,0.34,-0.15,0.92,14.4,4.19,-11.43,-4.28,-7.92,-9.29,82,0.02,0.1,2.84,5,541.0,-533.7,85.1,22.5,10.87,336523.0,243.08,-7.27,21.25,10.75,-2.48,-0.47,0.45,73,51,1,1998-03-10 19:10:00,1,1,533.7,3
1998,69,20,10,5,85,0.9,3121,0.3,-0.18,0.63,11.0,6.95,-4.06,0.04,-3.5,-2.05,196,0.1,0.23,3.9,5,537.3,-529.3,84.8,14.4,10.96,344286.0,243.08,-7.33,21.23,10.79,-2.77,-0.19,0.74,-75,-992,1,1998-03-10 20:10:00,1,1,529.3,3
1998,69,20,30,2,84,0.0,2571,0.45,-0.42,0.76,10.21,4.43,-6.82,-4.34,-3.54,-7.28,76,0.09,0.13,2.52,2,549.6,-531.7,126.8,30.4,10.89,337655.0,243.07,-7.34,21.23,10.82,-2.59,0.2,0.14,999999,999999,1,1998-03-10 20:30:00,1,1,531.7,3
1998,121,22,25,4,0,0.5,1852,0.46,0.86,-0.21,14.03,-12.09,4.42,-5.31,6.44,-2.5,58,0.05,0.08,1.25,4,545.2,-543.8,-37.3,7.9,13.53,336433.0,228.92,-33.51,-15.66,10.18,0.14,-0.16,0.08,8,8,1,1998-05-01 22:25:00,1,1,543.8,5
1998,121,22,30,5,85,0.7,2010,0.5,0.76,-0.33,11.37,-9.22,3.13,-5.8,5.54,-3.56,63,0.07,0.3,0.44,4,549.1,-547.8,-35.1,14.8,16.54,345988.0,228.92,-33.51,-15.66,9.78,0.08,-0.26,0.01,25,25,1,1998-05-01 22:30:00,1,1,547.8,5
1998,121,22,35,5,74,0.9,2018,0.53,0.7,-0.35,12.61,-9.99,4.33,-5.52,6.46,-2.73,103,0.11,1.57,2.3,4,549.4,-546.3,-54.7,11.3,14.06,329207.0,228.92,-33.51,-15.67,9.98,0.36,-0.19,0.24,87,87,1,1998-05-01 22:35:00,1,1,546.3,5
1998,121,23,10,5,0,0.9,2031,0.7,0.71,0.0,15.56,-9.43,7.72,-8.08,10.66,-3.36,34,0.02,0.23,5.08,4,569.8,-567.8,-44.7,12.9,14.7,364637.0,228.91,-33.49,-15.68,9.6,0.2,-0.23,0.1,36,36,1,1998-05-01 23:10:00,1,1,567.8,5
1998,121,23,15,5,0,1.0,2065,0.74,0.67,-0.03,16.03,-9.02,8.77,-9.23,12.13,-3.87,15,0.03,0.17,2.31,5,566.9,-564.4,-50.3,16.3,15.3,365283.0,228.91,-33.49,-15.68,9.45,0.34,-0.3,0.19,55,55,1,1998-05-01 23:15:00,1,1,564.4,5
