Year,Day,Hour,Minute,points_in_IMF_avgs,Percent_interp.,CP/MV_Flag,Timeshift_sec,Phase_frnt_nrml_X,Phase_frnt_nrml_Y,Phase_frnt_nrml_Z,ScalarB_nT,Bx_nT_GSE_GSM,By_nT_GSE,Bz_nT_GSE,By_nT_GSM,Bz_nT_GSM,RMS_timeshift_sec,RMS_phase_front_normal,RMS_ScalarB_nT,RMS_Field vector_nT,points_in_plasma_avgs,Flow_speed_kms,Vx_Velocity_kms_GSE,Vy_Velocity_kms_GSE,Vz_Velocity_kms_GSE,Proton_Density_ncc,Temperature_K,X_sc_GSE_Re,Y_sc_GSE_Re,Z_sc_GSE_Re,X_target_GSE_Re,Y_target_GSE_Re,Z_target_GSE_Re,RMS_target_Re,DBOT1_sec,DBOT2_sec,Bz_Present,Datetime,Vx_Present,Proton_Density_Present,Abs_Vx_Velocity_kms_GSE,Month
2016,157,15,20,5,0,0.5,3203,0.7,0.53,-0.47,17.62,5.6,-12.71,-7.31,-12.45,-7.76,16,0.03,1.11,7.3,5,457.2,-457.0,-6.2,-0.2,13.77,213835.0,226.09,22.7,12.69,10.58,-0.57,0.06,0.21,47,47,1,2016-06-05 15:20:00,1,1,457.0,6
2016,157,15,45,5,53,0.8,3344,0.59,0.6,-0.5,13.22,4.84,-5.26,-4.34,-5.01,-4.63,288,0.18,0.94,9.41,5,483.1,-482.7,13.4,-6.6,14.06,291130.0,226.1,22.72,12.68,10.64,-0.98,0.18,0.15,160,160,1,2016-06-05 15:45:00,1,1,482.7,6
2016,157,15,50,5,16,0.9,3286,0.58,0.55,-0.57,12.17,0.43,-7.83,-6.71,-7.42,-7.17,169,0.07,0.1,2.66,5,501.5,-500.8,18.8,-15.9,13.35,289832.0,226.1,22.73,12.67,10.3,-0.99,0.3,0.32,-28,-127,1,2016-06-05 15:50:00,1,1,500.8,6
2016,157,15,55,5,34,0.8,3393,0.5,0.53,-0.66,12.02,3.29,-7.87,-3.97,-7.61,-4.47,172,0.09,0.37,4.48,5,496.0,-495.2,23.3,-12.6,13.98,301958.0,226.1,22.73,12.67,10.59,-1.14,0.25,0.51,116,-10,1,2016-06-05 15:55:00,1,1,495.2,6
2016,157,16,10,5,0,0.9,3067,0.55,0.45,-0.7,13.05,3.02,-9.88,-4.99,-9.47,-5.73,14,0.01,0.41,4.81,5,494.4,-493.8,24.2,-3.7,13.74,297976.0,226.1,22.75,12.66,10.51,-1.15,0.08,0.21,64,64,1,2016-06-05 16:10:00,1,1,493.8,6
2016,157,16,15,5,0,0.9,3040,0.61,0.43,-0.66,11.74,2.08,-9.87,-2.81,-9.61,-3.6,13,0.03,0.56,4.54,5,490.5,-489.9,25.1,-0.7,14.47,324774.0,226.1,22.76,12.65,10.77,-1.19,-0.0,0.17,64,64,1,2016-06-05 16:15:00,1,1,489.9,6
2016,157,16,20,5,50,1.0,3125,0.61,0.47,-0.62,11.49,7.0,-8.93,-0.95,-8.81,-1.7,34,0.05,0.22,0.92,5,481.3,-480.7,23.9,2.2,15.13,373325.0,226.11,22.76,12.65,11.03,-1.23,-0.04,0.08,35,35,1,2016-06-05 16:20:00,1,1,480.7,6
2016,166,18,35,5,0,1.0,2309,0.78,-0.52,0.35,8.65,5.58,3.07,-4.32,3.61,-3.88,26,0.06,0.41,3.44,5,532.7,-531.7,-30.8,-7.1,13.32,119397.0,227.72,33.69,6.52,10.28,-0.04,0.11,0.15,93,93,1,2016-06-14 18:35:00,1,1,531.7,6
2016,166,18,40,5,0,0.5,2298,0.74,-0.57,0.36,9.69,2.92,-1.76,-9.01,-0.52,-9.16,24,0.04,0.11,0.6,5,521.4,-521.1,-13.5,7.1,13.33,92972.0,227.72,33.69,6.52,9.75,-0.3,-0.14,0.02,45,45,1,2016-06-14 18:40:00,1,1,521.1,6
2016,166,18,45,5,0,0.9,2398,0.8,-0.45,0.4,9.85,1.42,-2.86,-9.22,-1.55,-9.53,39,0.06,0.08,1.09,5,519.9,-519.7,-13.8,6.9,13.72,93076.0,227.72,33.69,6.52,9.69,-0.3,-0.13,0.02,36,36,1,2016-06-14 18:45:00,1,1,519.7,6
